,weekday,time,consumption_kwh,consumption_kw
277,Saturday,21:15:00,1.0803846153846153,4.321538461538461
278,Saturday,21:30:00,1.0967307692307693,4.386923076923077
279,Saturday,21:45:00,1.161923076923077,4.647692307692308
280,Saturday,22:00:00,1.093653846153846,4.374615384615384
281,Saturday,22:15:00,1.1961538461538461,4.7846153846153845
282,Saturday,22:30:00,1.1696153846153847,4.678461538461539
283,Saturday,22:45:00,1.176153846153846,4.704615384615384
284,Saturday,23:00:00,1.1959615384615385,4.783846153846154
285,Saturday,23:15:00,1.2601923076923076,5.0407692307692304
286,Saturday,23:30:00,1.1605769230769232,4.642307692307693
287,Saturday,23:45:00,1.0575,4.23
288,Sunday,00:00:00,1.0198076923076924,4.07923076923077
289,Sunday,00:15:00,1.0373076923076923,4.149230769230769
290,Sunday,00:30:00,1.053653846153846,4.214615384615384
291,Sunday,00:45:00,1.0761538461538462,4.304615384615385
292,Sunday,01:00:00,1.1428846153846153,4.571538461538461
293,Sunday,01:15:00,1.1292307692307693,4.516923076923077
294,Sunday,01:30:00,1.0586538461538462,4.234615384615385
295,Sunday,01:45:00,1.1465384615384615,4.586153846153846
296,Sunday,02:00:00,1.1641176470588235,4.656470588235294
297,Sunday,02:15:00,1.3044,5.2176
298,Sunday,02:30:00,1.3002,5.2008
299,Sunday,02:45:00,1.2773999999999999,5.1095999999999995
300,Sunday,03:00:00,1.2582352941176471,5.0329411764705885
301,Sunday,03:15:00,1.1842307692307692,4.736923076923077
302,Sunday,03:30:00,1.0292307692307694,4.116923076923078
303,Sunday,03:45:00,1.0282692307692307,4.113076923076923
304,Sunday,04:00:00,1.0865384615384615,4.346153846153846
305,Sunday,04:15:00,1.1590384615384615,4.636153846153846
306,Sunday,04:30:00,1.1807692307692308,4.723076923076923
307,Sunday,04:45:00,1.1923076923076923,4.769230769230769
308,Sunday,05:00:00,1.2323076923076923,4.929230769230769
309,Sunday,05:15:00,1.2871153846153847,5.148461538461539
310,Sunday,05:30:00,1.3990384615384615,5.596153846153846
311,Sunday,05:45:00,1.393076923076923,5.572307692307692
312,Sunday,06:00:00,1.4030769230769229,5.6123076923076916
313,Sunday,06:15:00,1.3684615384615384,5.473846153846154
314,Sunday,06:30:00,1.3180769230769231,5.272307692307693
315,Sunday,06:45:00,1.1817307692307693,4.726923076923077
316,Sunday,07:00:00,1.0628846153846154,4.251538461538462
317,Sunday,07:15:00,1.0734615384615385,4.293846153846154
318,Sunday,07:30:00,1.0482692307692307,4.193076923076923
319,Sunday,07:45:00,1.0459615384615384,4.1838461538461535
320,Sunday,08:00:00,1.0875,4.35
321,Sunday,08:15:00,1.1186538461538462,4.474615384615385
322,Sunday,08:30:00,1.1546153846153846,4.618461538461538
323,Sunday,08:45:00,1.2046153846153846,4.818461538461539
324,Sunday,09:00:00,1.2465384615384614,4.9861538461538455
325,Sunday,09:15:00,1.3857692307692309,5.5430769230769235
326,Sunday,09:30:00,1.4884615384615385,5.953846153846154
327,Sunday,09:45:00,1.5086538461538461,6.0346153846153845
328,Sunday,10:00:00,1.4188461538461539,5.6753846153846155
329,Sunday,10:15:00,1.305,5.22
330,Sunday,10:30:00,1.1717307692307692,4.686923076923077
331,Sunday,10:45:00,1.0682692307692307,4.273076923076923
332,Sunday,11:00:00,1.0042307692307693,4.016923076923077
333,Sunday,11:15:00,0.9428846153846154,3.7715384615384617
334,Sunday,11:30:00,0.9084615384615385,3.633846153846154
335,Sunday,11:45:00,0.9661538461538461,3.8646153846153846
336,Sunday,12:00:00,0.9926923076923077,3.9707692307692306
337,Sunday,12:15:00,0.994423076923077,3.977692307692308
338,Sunday,12:30:00,1.0173076923076922,4.069230769230769
339,Sunday,12:45:00,1.02,4.08
340,Sunday,13:00:00,0.9325,3.73
341,Sunday,13:15:00,0.9473076923076923,3.789230769230769
342,Sunday,13:30:00,0.9134615384615384,3.6538461538461537
